country,population ,density ,land_area ,medium_age,urban_population
Equatorial Guinea,1392950,50,28050,22,73 %
Trinidad and Tobago,1398579,273,5130,36,52 %
Estonia,1326357,31,42390,42,68 %
Timor-Leste,1313184,89,14870,21,33 %
Mauritius,1271347,626,2030,37,41 %
Cyprus,1205577,131,9240,37,67 %
Eswatini,1157707,67,17200,21,30 %
Djibouti,985027,43,23180,27,79 %
Fiji,895128,49,18270,28,59 %
Réunion,894017,358,2500,36,100 %
Comoros,865696,467,1861,20,29 %
Guyana,785788,4,196850,27,27 %
Bhutan,769867,20,38117,28,46 %
Solomon Islands,683301,25,27990,20,23 %
Macao,647508,21645,30,39,N.A.
Montenegro,628050,47,13450,39,68 %
Luxembourg,623861,242,2590,40,88 %
Western Sahara,594215,2,266000,28,87 %
Suriname,585561,4,156000,29,65 %
Cabo Verde,554750,138,4030,28,68 %
Maldives,538558,1802,300,30,35 %
Malta,441308,1380,320,43,93 %
Brunei,436624,83,5270,32,80 %
Guadeloupe,400110,237,1690,44,N.A.
Belize,396120,17,22810,25,46 %
Bahamas,392477,39,10010,32,86 %
Martinique,375323,354,1060,47,92 %
Iceland,340795,3,100250,37,94 %
Vanuatu,305623,25,12190,21,24 %
French Guiana,297029,4,82200,25,87 %
Barbados,287305,668,430,40,31 %
New Caledonia,284938,16,18280,34,72 %
French Polynesia,280580,77,3660,34,64 %
Mayotte,271417,728,375,20,46 %
Sao Tome & Principe,218308,228,960,19,74 %
Samoa,198147,70,2830,22,18 %
Saint Lucia,183458,301,610,34,19 %
Channel Islands,173536,915,190,43,30 %
Guam,168474,313,540,31,95 %
Curaçao,163958,370,444,42,89 %
Kiribati,119069,147,810,23,57 %
Micronesia,114776,164,700,24,21 %
Grenada,112418,331,340,32,35 %
St. Vincent & Grenadines,110869,284,390,33,53 %
Aruba,106675,593,180,41,44 %
Tonga,105449,147,720,22,24 %
U.S. Virgin Islands,104456,298,350,43,96 %
Seychelles,98224,214,460,34,56 %
Antigua and Barbuda,97764,223,440,34,26 %
Isle of Man,84942,149,570,N.A.,53 %
Andorra,77240,164,470,N.A.,88 %
Dominica,71950,96,750,N.A.,74 %
Cayman Islands,65564,274,240,N.A.,97 %
Bermuda,62323,1246,50,N.A.,97 %
Marshall Islands,59109,329,180,N.A.,70 %
Northern Mariana Islands,57490,125,460,N.A.,88 %
Greenland,56750,0,410450,N.A.,87 %
American Samoa,55215,276,200,N.A.,88 %
Saint Kitts & Nevis,53123,205,260,N.A.,33 %
Faeroe Islands,48826,35,1396,N.A.,43 %
Sint Maarten,42776,1261,34,N.A.,96 %
Monaco,39186,26337,1,N.A.,N.A.
Turks and Caicos,38609,41,950,N.A.,89 %
Saint Martin,38529,730,53,N.A.,0 %
Liechtenstein,38106,238,160,N.A.,15 %
San Marino,33917,566,60,N.A.,97 %
Gibraltar,33693,3369,10,N.A.,N.A.
British Virgin Islands,30190,202,150,N.A.,52 %
Caribbean Netherlands,26173,80,328,N.A.,75 %
Palau,18077,39,460,N.A.,N.A.
Cook Islands,17561,73,240,N.A.,75 %
Anguilla,14976,167,90,N.A.,N.A.
Tuvalu,11762,393,30,N.A.,62 %
Wallis & Futuna,11276,80,140,N.A.,0 %
Nauru,10810,541,20,N.A.,N.A.
Saint Barthelemy,9871,470,21,N.A.,0 %
Saint Helena,6073,16,390,N.A.,27 %
Saint Pierre & Miquelon,5800,25,230,N.A.,100 %
Montserrat,4991,50,100,N.A.,10 %
Falkland Islands,3458,0,12170,N.A.,66 %
Niue,1624,6,260,N.A.,46 %
Tokelau,1354,136,10,N.A.,0 %
Holy See,801,2003,0,N.A.,N.A.
